CustomerID,total_transactions,Customer_behavior,lifespan_months,total_variety_products_purchased,total_products_purchased,Revenue,AOV,Country
13263,35,repeating customer,11,1667,4768,7436.93,212.48,United Kingdom
12610,7,repeating customer,3,111,1070,2141.09,305.87,Italy
17716,12,repeating customer,8,254,3140,5806.19,483.85,United Kingdom
13266,19,repeating customer,11,202,4557,3950.85,207.94,United Kingdom
12665,2,repeating customer,0,4,38,64.25,32.13,Germany
12794,2,repeating customer,1,45,592,860.41,430.21,Portugal
15457,1,one time customer,0,58,132,237.07,237.07,United Kingdom
17340,16,repeating customer,11,424,6032,12815.4,800.96,United Kingdom
13801,1,one time customer,0,23,168,324.8,324.8,United Kingdom
14039,1,one time customer,0,6,92,152.2,152.2,United Kingdom
17358,2,repeating customer,2,58,190,360.81,180.4,United Kingdom
12621,23,repeating customer,12,474,7476,13767.27,598.58,Germany
18282,3,repeating customer,4,13,108,179.5,59.83,United Kingdom
16168,28,repeating customer,11,99,1896,3804.6,135.88,United Kingdom
15739,1,one time customer,0,8,472,449.12,449.12,United Kingdom
15146,3,repeating customer,4,95,1487,1340.66,446.89,United Kingdom
15638,1,one time customer,0,2,52,94,94,United Kingdom
16479,2,repeating customer,0,35,102,300.83,150.42,United Kingdom
14622,1,one time customer,0,21,146,320.58,320.58,United Kingdom
16555,2,repeating customer,3,17,175,285.89,142.94,United Kingdom
17470,5,repeating customer,10,78,1675,1125.07,225.01,United Kingdom
16272,1,one time customer,0,25,224,411.7,411.7,United Kingdom
17779,5,repeating customer,4,83,399,666.72,133.34,United Kingdom
13046,2,repeating customer,8,35,264,629.31,314.65,United Kingdom
17068,22,repeating customer,11,297,2174,4572.94,207.86,United Kingdom
14201,9,repeating customer,10,39,602,806.84,89.65,United Kingdom
13029,3,repeating customer,11,10,134,1247.5,415.83,United Kingdom
12691,6,repeating customer,11,32,394,1035.8,172.63,France
14920,2,repeating customer,0,57,509,977.77,488.88,United Kingdom
12881,1,one time customer,0,7,21,298,298,United Kingdom
14857,3,repeating customer,3,61,473,1180.59,393.53,United Kingdom
16204,1,one time customer,0,50,218,384.18,384.18,United Kingdom
18086,1,one time customer,0,7,106,101.34,101.34,United Kingdom
15654,2,repeating customer,0,21,475,922.53,461.26,United Kingdom
13887,1,one time customer,0,19,147,349.55,349.55,United Kingdom
16164,4,repeating customer,1,35,434,842.43,210.61,United Kingdom
14467,4,repeating customer,10,89,276,596.26,149.06,United Kingdom
15230,2,repeating customer,0,23,351,429.6,214.8,United Kingdom
16342,4,repeating customer,3,15,157,322.41,80.6,United Kingdom
13999,15,repeating customer,11,212,2255,3938.36,262.56,United Kingdom
14287,4,repeating customer,7,11,286,202.03,50.51,United Kingdom
15393,2,repeating customer,8,12,150,231.86,115.93,United Kingdom
18016,5,repeating customer,11,122,1027,1477.66,295.53,United Kingdom
15641,4,repeating customer,8,119,1562,1887.2,471.8,United Kingdom
17050,6,repeating customer,7,308,1595,3185.64,530.94,United Kingdom
14088,14,repeating customer,10,590,12737,50568.13,3612.01,United Kingdom
16345,1,one time customer,0,37,288,565.46,565.46,United Kingdom
12980,12,repeating customer,7,24,908,7657.74,638.15,United Kingdom
18222,1,one time customer,0,19,335,443,443,United Kingdom
