StockCode,Description,total_products_sold,total_transactions,Revenue,total_customers_bought,Number_Countries_sold
21027,Ninja rabbit pink,167,42,187.79,16,3
21249,Woodland  height chart stickers,724,119,2160,68,14
23315,Ivory refectory clock,225,87,2192.04,63,6
23304,Set 4 picnic cutlery cherry,71,9,138.45,9,3
23520,Embroidered ribbon reel ruby,167,32,600.55,30,5
85042,Antique lily fairy lights,3,2,14.85,2,1
22533,Magic drawing slate bake a cake,1806,89,654.47,68,5
35597B,Blackchristmas tree 30cm,1,1,1.25,1,1
84712B,Pink jewelled photo frame,30,20,231.56,9,2
84380,Set of 3 butterfly cookie cutters,5874,696,8252.31,325,15
84032B,Charlie + lola red hot water bottle,1002,259,2555.09,108,4
22906,12 message cards with envelopes,1734,252,2949.52,150,6
85131A,Beaded pearl heart white on stick,1009,122,912.75,21,2
23001,Travel card wallet dotcomgiftshop,200,1,0,0,1
37327,NULL,2,1,0,0,1
23389,Spaceboy mini backpack,1104,234,4705.84,157,13
22847,NULL,11,2,0,0,1
23299,Food cover with beads set 2,1017,147,3791.63,109,9
90141B,Ivory pendant triple shell necklace,9,5,44.86,2,2
20866,Blue rose fabric mirror,717,91,836.9,34,5
85027L,French chateau large platter,75,19,170.25,17,2
23145,Zinc t-light holder stars large,24,2,22.8,2,1
84795C,Ocean stripe hammock,2,1,15.9,1,1
16033,Mini highlighter pens,840,4,100.8,4,1
21397,Blue polkadot egg cup,1075,65,550.43,43,4
21638,Assorted tutti frutti notebook,247,40,547.76,25,2
21355,NULL,307,2,0,0,1
37501,Tea time tea set in gift box,135,50,920.73,28,8
18097A,Pink tall porcelain t-light holder,5,4,12.75,4,1
47578A,English rose small scented flower,213,45,197.43,26,3
85215,Damaged,29,1,0,0,1
16162M,Alan hodge cant mamage this section,30,1,0,0,1
22242,NULL,63,3,0,0,1
82583,NULL,62,4,0,0,1
22313,Office mug warmer pink,815,66,2202.33,41,8
47013A,Damaged,2,1,0,0,1
90145,Silver hoop earrings with flower,28,18,168,7,3
47593A,NULL,2,1,0,0,1
85028S,NULL,25,2,0,0,1
23619,Set 10 cards poinsettia 17093,4,2,9.96,0,1
23253,16 pc cutlery set pantry design,4,1,63.8,1,1
16010,NULL,7,1,0,0,1
84743C,Orange felt vase + flowers,1,1,1.25,1,1
22687,Had been put aside,20,1,0,0,1
72801C,4 rose pink dinner candles,184,44,276.59,13,2
84991,60 teatime fairy cake cases,18363,836,9265.67,415,17
21937,Strawberry   picnic bag,1723,257,4946.05,146,13
22719,Gumball monochrome coat rack,630,113,906.89,25,1
21653,NULL,6,1,0,0,1
22262,Felt egg cosy chicken,1028,139,954.71,62,6
85213,Mini  zinc garden decorations,830,34,331.4,23,4
22144,Christmas craft little friends,4117,547,9754.68,319,13
84569A,Pack 3 iron on dog patches,294,65,355.84,26,6
22469,NULL,61,2,0,0,1
20985,Heart calculator,1195,134,1560.02,66,7
21810,Check,135,1,0,0,1
23381,Pack of 12 vintage leaf tissues,1496,80,562.88,59,4
22064,Pink doughnut trinket pot,1764,256,2602.45,87,11
21658,Glass  beurre dish,910,236,3834.36,83,6
21523,Doormat fancy font home sweet home,3250,505,21633.79,203,9
21011,NULL,20,1,0,0,1
84744,S/6 sew on crochet flowers,110,20,140.02,17,5
90012B,Black drop crystal necklace,13,3,45.35,2,1
23045,Paper lantern 5 point star moon 30,10,5,41.5,5,1
22169,Family album white picture frame,1229,389,10603.31,165,10
23192,Bundle of 3 alphabet exercise books,3519,347,6119.19,224,11
85053,French enamel candleholder,1721,331,3706.65,158,11
84228,Crushed,4,1,0,0,1
21654,Damaged,3,1,0,0,1
79336,NULL,83,2,0,0,1
21331,Moroccan beaten metal dish large,12,8,165.74,7,2
22687,Doormat christmas village,590,52,3354.22,30,5
20963,Apple bath sponge,1336,229,1911.17,83,9
21132,Silver standing gnome,44,22,217.36,13,4
23191,Bundle of 3 retro exercise books,60,5,99,5,1
21947,Set of 6 heart chopsticks,811,152,1139.65,62,8
21218,Red spotty biscuit tin,2482,405,10281.74,131,15
90208,Pair of pink flower cluster slide,59,38,148,4,2
22673,French garden sign blue metal,803,132,1031.08,85,5
22176,Blue owl soft toy,514,117,1542.78,62,11
23461,Sweetheart bird house,851,95,3057.81,75,2
23223,Christmas tree hanging silver,813,89,760.15,51,2
22997,Travel card wallet union jack,2623,230,1127.69,101,3
20665,NULL,49,1,0,0,1
21279,NULL,14,1,0,0,1
72818,Christmas decoupage candle,1881,77,847.9,51,3
84609,Damages,29,1,0,0,1
